email,address,phone,name,geo_location,lucky_number,birth_date
Baxter Potter,"41.1720188928, 56.7183161344",01/13/1992,baxterpotter@icloud.couk,243-2563 Imperdiet Street,04 43 11 55 67,82
5,Dieter Watson,"65.3271704576, -73.5662020608",02/24/1993,dieterwatson@hotmail.net,"455-2593 Lacus, Rd.",06 81 78 62 73
aldenschmidt@protonmail.com,29,Alden Schmidt,10/26/1991,966-4078 Turpis. Road,03 82 41 62 60,"35.1630552064, 48.5094176768"
kaseemwarren@hotmail.sn,31,"46.5387901952, 179.9216633856",244-7401 Dignissim Avenue,Kaseem Warren,03 11 80 74 84,03/24/1960
11,"75.515853312, -57.6291162112",03 46 72 43 48,06/08/1977,Denton O'brien,dentonobrien4647@outlook.sn,"P.O. Box 236, 4733 Amet, Road"
4700 Purus. St.,Martena Clements,martenaclements@google.ci,07 51 16 76 82,"-57.718250496, 117.4671791104",4,10/16/1998
lenlindsay6600@yahoo.org,02/04/1948,80,"P.O. Box 398, 8491 Eget St.",01 69 10 39 34,Len Lindsay,"61.7110668288, 31.3426453504"
02 15 84 73 21,6,08/26/1974,Indigo Crosby,"11.9427999744, -126.8514430976",837-3910 Aliquet Ave,indigocrosby@aol.gh
Nola Wheeler,Ap #835-286 Accumsan Avenue,15,01/20/1973,"-8.632104448, -140.2498644992",04 20 12 83 71,nolawheeler7909@hotmail.gh
Cheryl Clay,101-2918 Sollicitudin Ave,77,04 38 38 24 08,cherylclay745@protonmail.net,"78.495758848, -19.0766642176",01/08/1990
"920-1826 At, Ave",06 97 41 86 62,19,07/08/1983,"29.0741415936, -148.2555283456",Victor Patel,victorpatel@protonmail.com
31,5669 Ac Rd.,"-48.7479310336, 117.9745082368",01/24/1956,Calista Dotson,06 45 96 87 08,calistadotson4574@yahoo.ci
Kitra Benton,75,"1.1012379648, -29.4555805696",07 35 52 06 25,kitrabenton4542@outlook.com,893-5835 Non Rd.,06/04/1991
Lee Guerra,6915 Sit St.,leeguerra3889@icloud.net,02 79 89 35 36,21,"33.1058035712, -178.1008342016",02/24/1990
Ap #889-2615 Dictum St.,11/22/1959,kellygonzales4143@yahoo.ci,56,02 65 24 85 60,Kelly Gonzales,"67.6805085184, -146.1873447936"
imanidudley@hotmail.org,Imani Dudley,25,"85.6038381568, 123.6622901248",Ap #688-3307 Accumsan Rd.,04 24 81 29 60,09/24/1973
"29.019924992, 143.2770226176",12/01/1966,"986-9417 Sed, St.",04 34 74 38 52,mararaymond@outlook.sa,83,Mara Raymond
05 48 18 04 68,"-73.908476416, -165.9774979072",03/14/1957,"P.O. Box 366, 5186 In Rd.",56,angelicatrujillo@outlook.edu,Angelica Trujillo
33,"-35.1572944896, 127.8412322816",masonware6077@icloud.couk,03 31 49 80 23,Mason Ware,09/04/1977,Ap #640-6062 Tristique St.
08 00 42 43 38,daphnewhitney9612@protonmail.ci,92,Daphne Whitney,Ap #920-4574 Metus. Avenue,10/23/1965,"40.1710620672, -95.3271943168"
"-88.4078508032, -60.3409301504",02/01/1945,06 66 65 87 51,kayelarsen@outlook.sa,Kaye Larsen,12,Ap #861-8061 Cras Av.
08 72 75 03 10,Laurel Velasquez,"-26.3651478528, -21.274616832",laurelvelasquez6782@outlook.sa,7066 Proin Rd.,41,09/19/1986
03/07/1947,"Ap #163-2758 Ut, Avenue",04 42 52 55 50,merrittrocha@outlook.org,"88.4165920768, 31.100110848",15,Merritt Rocha
"8.7480334336, -106.3686770688",kadeemshields@google.net,"8801 Placerat, Av.",06/03/1980,Kadeem Shields,98,02 65 89 29 40
09/20/1994,Herman Little,"392-312 Ornare, Avenue","-47.0635087872, -93.8958032896",30,06 85 78 28 16,hermanlittle@outlook.couk
Jacob Schroeder,Ap #426-1823 Aliquam Street,07 54 08 05 62,"8.8045452288, -139.426516992",jacobschroeder3232@outlook.sn,11/06/1981,20
07 85 92 14 88,"-42.6046408704, -140.3114062848","Ap #221-9435 Eget, Rd.",inezpetersen8150@google.net,5,01/16/1958,Inez Petersen
kirestinmeyers551@google.edu,02/13/1967,Kirestin Meyers,27,955-7530 Aliquam Avenue,"13.6304883712, -173.0082515968",05 31 46 17 28
Ap #178-9664 Faucibus Street,"76.1977490432, -126.7500485632",Blaze Garza,59,03 94 15 81 68,blazegarza@outlook.couk,04/05/1962
Sylvester Dickerson,46,04 61 81 17 22,sylvesterdickerson@protonmail.sn,"50.2562296832, -136.7386728448",07/04/1994,551-8348 Quisque Av.
Catherine Bean,08 38 38 36 19,"-33.5971668992, 159.9859892224",Ap #215-7147 Arcu. Avenue,catherinebean8216@outlook.couk,53,07/07/1971
buckminstermoss6967@protonmail.sa,05 64 80 24 17,8,"-0.6194213888, -137.1717067776",Buckminster Moss,3099 Vestibulum Road,10/05/1989
Grace Terry,"-82.08670208, -10.9497030656",8823 Velit Ave,29,08 75 93 14 31,07/01/2000,graceterry@icloud.com
ronanpotts@hotmail.sa,Ap #723-4594 Aliquet St.,05/31/1963,47,Ronan Potts,"65.7006600192, 116.5962896384",05 16 13 28 58
07/21/1973,altheamorin@icloud.sa,08 05 71 33 49,"Ap #202-6640 Augue, Road","6.935259648, 8.7812031488",59,Althea Morin
02/11/1945,"P.O. Box 829, 1685 Non Road",08 17 16 92 65,"-56.3281676288, -168.0445304832",Alden Christensen,aldenchristensen@yahoo.gh,50
"-48.9244556288, -77.6786837504",Castor Albert,"P.O. Box 133, 7431 Nec Road",94,04 03 53 56 45,castoralbert1214@aol.ca,03/01/1963
88,hiramrios8142@aol.sa,Hiram Rios,11/12/1967,"73.2516560896, -114.9376963584",01 13 29 99 65,Ap #884-4197 Enim St.
02 20 78 73 55,"-50.94098688, 176.3750649856",13,ellabeach9953@aol.couk,Ella Beach,268-7190 Est Street,06/24/1997
"46.4501745664, 37.3754302464",07/25/1983,02 18 10 42 21,Ap #796-505 Mus. Street,10,Macaulay Carrillo,macaulaycarrillo4883@hotmail.edu
"-5.663019008, 13.370592768",08/14/1965,Cullen Garner,07 31 70 94 84,35,276-8941 Mauris St.,cullengarner@hotmail.net
phyllismyers@protonmail.edu,"P.O. Box 256, 3969 Fusce Road",32,04/12/1998,02 57 64 88 56,"-56.1447542784, 81.444611584",Phyllis Myers
853-4472 Aliquam Road,91,03/19/1962,teeganarnold7204@outlook.ca,02 24 71 81 58,Teegan Arnold,"55.0321758208, -129.9041750016"
736-7892 Massa. St.,"-70.448649728, -43.8684792832",medgekemp271@hotmail.sn,Medge Kemp,05/06/1952,05 37 54 62 28,67
"28.6161409024, 105.951204864",Jolie Hampton,04/02/1997,04 51 91 71 74,101,Ap #227-679 Egestas Rd.,joliehampton@hotmail.sn
Ap #191-8449 Adipiscing Street,"-78.7645177856, -45.6239202304",03 96 58 22 89,12/01/1998,Vaughan Le,vaughanle5675@protonmail.couk,62
642-4577 Sed Rd.,3,12/25/1975,micahmcfarland@outlook.edu,"87.8889228288, 102.8949200896",Micah Mcfarland,05 85 31 81 54
03 22 41 56 47,Basil Ellis,08/01/1973,56,"65.061891584, 117.974829568","P.O. Box 650, 5355 Nec Road",basilellis6811@outlook.sn
04 21 06 01 42,"19.342408704, 164.5948822528","909-7461 Aliquet, Avenue",aimeejohnston@aol.sn,07/28/1964,98,Aimee Johnston
75,01 66 06 37 76,jarrodferrell@hotmail.couk,12/24/1964,"-19.0036859904, -0.9401064448",Ap #939-4048 Facilisis St.,Jarrod Ferrell
05 47 33 31 57,hannahburgess1193@icloud.gh,"-69.2851704832, -61.3913778176",305-2701 Adipiscing Ave,38,06/07/1976,Hannah Burgess
damianworkman3852@yahoo.sa,Damian Workman,Ap #417-9210 Sem St.,102,06/14/1953,"26.0220177408, 5.057721344",02 84 43 90 62
07 46 86 13 93,Hadley Pugh,hadleypugh2299@protonmail.ca,34,01/29/1959,"66.820456448, 45.6261772288","P.O. Box 962, 8736 Est St."
Ap #242-6958 Sem Av.,azaliawooten@outlook.ci,03/29/1973,03 42 12 83 89,41,Azalia Wooten,"-47.6405325824, 92.1004213248"
Griffin Casey,102,griffincasey2078@protonmail.ci,"27.9125552128, -58.7898077184",Ap #451-8899 Donec Rd.,08 84 50 73 22,03/03/1975
10/28/1965,"-57.640502784, 11.1073923072",08 64 80 79 78,briancrane1647@protonmail.ci,Brian Crane,Ap #767-520 Et Avenue,69
Ap #393-8683 Dictum Road,59,"32.2432425984, 130.0784238592",03 54 80 27 21,Walter Carter,08/19/1952,waltercarter@protonmail.ci
95,09 56 14 53 01,05/11/1961,Macy Allison,630-7448 Elit Av.,"-48.348892672, 83.6740791296",macyallison9680@aol.gh
3214 Erat Rd.,53,02/20/1994,irisglenn7572@google.ci,02 57 05 10 24,Iris Glenn,"42.0695307264, 138.9567039488"
"50.7647230976, -138.0602409984",08 32 98 64 31,Myles Ashley,mylesashley720@google.ca,07/16/1977,100,"Ap #269-7016 Vestibulum, Avenue"
08/18/1984,2,Ap #652-255 Vehicula Ave,02 21 23 83 21,denisenorton@outlook.sn,"81.5856986112, -154.3422896128",Denise Norton
02 54 41 79 99,xandertanner@aol.net,Ap #215-2690 Adipiscing St.,09/22/1994,"52.3215331328, -102.0492152832",23,Xander Tanner
kimhoward@icloud.gh,08 65 58 09 76,"-45.5844907008, 87.934472192",Kim Howard,09/22/1992,719-6082 Ipsum St.,76
Ap #279-6291 Euismod Ave,08/23/1971,alikaclayton@google.gh,Alika Clayton,"81.0825444352, 145.5202531328",66,04 71 73 29 64
11/17/1979,07 61 81 30 79,sydneymoore@yahoo.edu,75,612-2629 Pellentesque Avenue,"-26.736274432, 49.7445966848",Sydney Moore
Cade Grant,06 35 46 42 34,54,"-71.039059456, -111.9381721088",cadegrant7794@protonmail.ca,02/17/2000,6386 Dignissim Rd.
Kirestin Evans,07 24 47 30 63,57,"-6.6853445632, 124.655154176",kirestinevans7410@yahoo.sa,07/01/1985,"P.O. Box 640, 1164 Vivamus Rd."
Joseph Joyner,"-66.5482115072, 10.4242441216",03 44 08 73 88,4672 Aliquet Road,10/12/1986,josephjoyner@google.net,48
06 19 64 84 24,Ivan Barker,07/21/1989,Ap #852-1029 Aliquet St.,"40.3644803072, -120.3104175104",ivanbarker@outlook.couk,48
04 25 57 59 82,51,11/29/1970,mageebarry@aol.gh,Magee Barry,"-9.51158784, 156.9609711616",698-4985 Morbi Avenue
Maxine Vincent,"28.67333376, -80.137667584",maxinevincent9222@protonmail.ca,03 13 60 34 22,Ap #678-3751 Fusce St.,09/17/1967,68
05 91 56 10 66,"4064 Eu, Road",Chancellor Keller,61,03/23/1995,"-16.4469295104, 166.4659531776",chancellorkeller2291@hotmail.ci
07 86 17 16 36,04/11/1990,49,Ap #489-3913 In Street,Jack Randall,"-85.837112832, -96.5185496064",jackrandall@icloud.sn
08 85 33 64 42,Raven Petty,ravenpetty@yahoo.ci,41,10/19/1954,"60.5890612224, 140.5809713152",Ap #234-9735 Risus. Ave
"-25.768616448, 46.106962432",Kitra Ewing,631-5917 Luctus Road,09/23/1995,kitraewing@hotmail.com,03 10 30 54 53,27
41,08 34 01 94 73,08/31/1965,"P.O. Box 393, 5983 Mauris Avenue","-58.8800379904, 155.2836987904",garyblackwell7032@icloud.couk,Gary Blackwell
216-2226 Tempus Av.,08/20/1953,33,portiameyer4895@yahoo.gh,"-11.4438555648, 136.9199199232",Portia Meyer,01 16 89 89 67
macaulaycharles7662@aol.com,11/03/1993,Ap #446-5517 Blandit Street,04 27 55 54 91,Macaulay Charles,"-70.562705408, 99.36877312",6
Liberty Mcdonald,libertymcdonald4159@google.gh,12/28/1957,13,02 50 76 73 22,"0.40392704, 75.660951552","P.O. Box 824, 5224 Vel Rd."
devingilliam@icloud.ca,99,"62.7281983488, 171.2296735744","P.O. Box 790, 7574 Aliquet. Rd.",04 34 31 11 16,09/04/1976,Devin Gilliam
Aileen Ewing,61,aileenewing2363@protonmail.gh,07/26/1953,"1.9110982656, 47.403639296",03 51 70 56 24,Ap #912-4929 Feugiat. Ave
07/12/1965,63,Eve Bauer,03 46 42 49 84,evebauer@outlook.org,Ap #399-685 Integer Ave,"-41.8655833088, 96.9660672"
Alexis Hurst,alexishurst3609@aol.ca,04/10/1992,"-28.5345444864, -141.0790214656",07 82 95 22 20,809-1238 Dui Av.,40
"P.O. Box 309, 2933 A, St.",ingridgoodwin5254@hotmail.gh,"62.5496845312, -39.10632192",20,Ingrid Goodwin,08 73 50 61 10,12/25/1959
Portia Collins,Ap #172-3019 Eu Rd.,03 47 17 97 18,"-78.97653504, 62.1933366272",portiacollins@icloud.sn,10,08/13/2000
02 52 62 94 57,07/31/1995,garethaguirre@outlook.gh,Ap #291-6166 Ultricies St.,80,"5.201750528, 113.5438291968",Gareth Aguirre
281-3976 Vel Ave,"40.24864768, 132.8428910592",05 47 03 58 51,03/06/1959,29,Eugenia Little,eugenialittle@protonmail.couk
"-61.5399318528, 165.0885921792",levdavid@outlook.edu,703-8698 Nulla. Rd.,04/10/1954,Lev David,61,05 24 08 40 65
96,07/05/1965,Brock Ortega,Ap #839-2492 Nullam Road,07 18 50 12 44,"-4.4957118464, 29.8430772224",brockortega8332@aol.net
Graiden Silva,12/04/1984,"P.O. Box 984, 6664 In Av.",08 72 91 27 85,graidensilva805@google.edu,"61.5222623232, 73.717015552",26
minervahardy@protonmail.gh,02 54 36 34 87,245-3248 Neque St.,"-27.0753501184, -111.7782554624",02/01/1976,Minerva Hardy,53
06/13/1976,thomasknight1604@yahoo.edu,24,Thomas Knight,"-70.62311168, 7.2515636224",02 32 18 64 42,5736 Facilisis Ave
"Ap #355-5649 Pede, Street",brandonross8874@outlook.net,03 10 28 36 15,Brandon Ross,"-53.3472347136, -120.5694319616",2,10/30/1966
Emerald Rosario,"29.3344771072, 150.4654201856",11/04/1983,79,01 35 82 47 45,emeraldrosario@google.com,6710 Morbi St.
Gay Le,70,04 80 70 21 31,Ap #736-6846 Ornare St.,gayle9308@google.couk,01/15/1971,"-50.5925885952, -26.8395677696"
"68.428488704, -151.1053304832",329-702 Dapibus Ave,20,05 56 69 82 84,09/15/1966,Nero Rowland,nerorowland@protonmail.ci
70,"40.7488982016, -86.016085504",136-3476 Mattis Av.,06 74 25 13 63,Chase Brooks,06/30/1980,chasebrooks4898@aol.gh
gavinhobbs@hotmail.net,Gavin Hobbs,Ap #264-862 Faucibus Street,"70.054859776, 43.92892928",02 39 84 57 06,13,12/15/1946
gannonnolan9647@yahoo.ca,08/31/1964,94,Gannon Nolan,06 63 96 21 10,"-21.5663312896, 109.33212672",Ap #728-1709 Cum Road
08/13/1978,"75.0949274624, 172.8935136256",scarlettfischer5516@aol.com,13,06 39 25 77 08,"P.O. Box 448, 1755 Quis Ave",Scarlett Fischer
Gillian Bradshaw,09/15/1975,gillianbradshaw@yahoo.org,02 68 43 21 89,1190 Libero. Ave,29,"30.7268228096, -66.9463918592"
28,09/12/1958,03 68 65 43 47,Ap #807-1187 Turpis St.,kyleebaxter4865@protonmail.ci,Kylee Baxter,"-3.7474642944, 78.161742848"
Iona Freeman,208-7917 Eget Street,09 17 73 68 81,ionafreeman2213@hotmail.edu,01/06/1955,"-48.5343582208, 133.4944149504",33
"10.2235597824, -154.3246396416",lukevang@google.couk,07/16/1972,49,Luke Vang,08 76 39 47 39,"Ap #816-6922 Adipiscing, Rd."
Britanni Clarke,britanniclarke@outlook.org,04/15/1983,02 36 17 65 58,56,"80.903973376, 17.2624150528",Ap #218-8844 Cum Road
09/18/1984,Jenette Solis,"-78.4333827072, -168.1517780992",jenettesolis7445@protonmail.ci,4,04 77 39 01 21,Ap #340-9516 Non Road
Xandra Roberts,02/28/1956,13,"45.9500351488, -116.9935842304",04 54 85 12 79,xandraroberts3475@icloud.sa,846-8923 Risus Avenue
"43.4905522176, 126.4980544512",Amena Mcclain,10/04/1969,07 35 02 44 73,56,653-1832 Dictum. St.,amenamcclain@protonmail.edu
04/30/1971,05 44 32 33 53,27,nathanielcherry@icloud.net,"4025 Non, Road",Nathaniel Cherry,"-40.9753962496, -160.0604336128"
12/17/1946,"P.O. Box 505, 5556 Lorem. Rd.",vedastephenson@hotmail.couk,Veda Stephenson,"59.010177536, 56.2804896768",03 90 85 32 78,55
"60.4828836864, -43.7130924032","P.O. Box 546, 1224 Vitae Av.",87,jarrodkemp@protonmail.ci,07 04 47 46 58,06/03/1971,Jarrod Kemp
Ap #822-7603 Torquent Av.,florencesuarez4445@yahoo.sa,"-73.3027847168, 70.3278109696",10,Florence Suarez,04/01/1946,06 37 54 57 11
inezthornton975@outlook.ci,48,Inez Thornton,Ap #234-4555 Ligula. St.,08 87 73 36 10,09/15/1994,"-19.0708332544, -78.4436435968"
837-3775 Nulla. St.,36,08/16/1972,02 88 40 77 00,aladdindavid3808@aol.sn,"-50.5875117056, -114.7234281472",Aladdin David
06 03 13 56 62,"-71.9802532864, -128.5189215232",Ap #132-8516 Feugiat Street,laurastevens5915@google.ca,04/30/1979,81,Laura Stevens
"-54.7003899904, -151.721448448",Ap #634-2739 Amet Avenue,01 88 75 47 22,09/14/1966,Medge Elliott,medgeelliott5393@protonmail.ca,77
"-48.2155370496, 67.356684288",10,Amela Snyder,"240-2966 Sed, Road",10/17/1999,amelasnyder@yahoo.sa,02 90 36 05 17
05/10/1969,02 34 57 11 39,3230 Nunc Street,"84.3251192832, 6.2685955072",Walter Hardin,49,walterhardin4054@google.sa
48,07 16 26 83 17,878-8925 At Rd.,"-65.7825854464, -165.2897498112",02/01/1947,kaitlinwhitley@hotmail.couk,Kaitlin Whitley
Ap #889-4636 Enim. Ave,Rebecca Harrison,"24.2519876608, -70.1767630848",05 37 88 59 45,rebeccaharrison3424@google.org,10,02/14/2000
07 67 52 62 18,"P.O. Box 182, 6272 Convallis Rd.",12/26/1965,10,"-30.2276217856, -149.4499802112",kevynbolton@yahoo.ca,Kevyn Bolton
edwardmccarthy493@google.ci,799-7749 Amet Rd.,12/10/1955,Edward Mccarthy,"-81.3265020928, 37.3782998016",94,04 86 02 37 61
07/03/1960,Ap #432-3938 Malesuada Rd.,33,edwardrichards8795@outlook.ci,"4.0095822848, -75.7129097216",03 84 81 37 11,Edward Richards
Ap #631-9603 Dolor Rd.,02/06/1960,56,"-30.5512704, 106.3113426944",Edward Everett,07 66 04 47 64,edwardeverett8937@aol.com
09/06/1944,Uriah Gill,26,"-55.8269687808, 20.090623488",1114 Ullamcorper Rd.,uriahgill@outlook.com,03 94 62 93 88
Graham Snider,05 55 33 55 68,Ap #801-8417 Egestas Rd.,"75.6529354752, 104.2436322304",grahamsnider@google.com,100,09/06/1951
sybillchandler@icloud.sa,04/26/1999,45,"1.8842118144, -119.8195817472",Ap #445-2928 Varius St.,Sybill Chandler,04 79 64 44 13
80,nashvalencia@protonmail.ca,"198-5906 Dolor, Street",Nash Valencia,04 45 01 28 15,05/08/1962,"-7.5294142464, 105.8237277184"
08 06 22 41 86,Ap #871-4458 Tellus. Avenue,01/05/1945,20,"67.3977409536, 171.3159053312",Allegra Huff,allegrahuff7290@google.sn
Vielka Morgan,"-16.4129883136, -5.6350457856",07/13/1984,Ap #291-4508 Ac Rd.,1,vielkamorgan@hotmail.ci,03 82 63 53 50
"-65.6663733248, 72.6782906368",11/06/1950,56,07 40 35 46 61,458-7879 Morbi Rd.,jeanetterandolph@google.couk,Jeanette Randolph
14,Lucius Brown,9344 Aenean St.,"70.8792070144, -94.9346028544",03 15 85 98 97,luciusbrown@icloud.sn,11/22/1962
90,quonhoover@google.org,"26.7789923328, -73.3819419648",Ap #775-1174 Lacus. Rd.,07 79 54 02 92,Quon Hoover,11/27/1968
76,Ap #666-6465 Ac Rd.,09/27/1944,07 43 46 52 73,kylafrank@hotmail.edu,Kyla Frank,"-9.7795352576, -11.821190144"
503-4257 Adipiscing Av.,"77.5579172864, 66.5755697152",09/21/1950,hashimclarke@google.gh,79,Hashim Clarke,05 31 52 72 59
isadoraruiz302@yahoo.sn,08 66 75 53 56,Isadora Ruiz,Ap #366-1258 In Av.,04/28/1952,8,"6.5458727936, 172.393721344"
"-85.767850496, -142.9573244928",01/10/1967,serenahendrix969@aol.org,44,"863-3539 Sed, Ave",04 60 55 79 14,Serena Hendrix
33,07 54 42 36 26,"52.783831552, 139.9829091328",Cooper Smith,coopersmith6119@hotmail.net,Ap #606-7981 Molestie. Road,04/24/1992
"49.752615424, 70.7044711424",keikoowens@hotmail.edu,90,Keiko Owens,11/18/1983,06 36 48 47 38,690-1746 Nisi. St.
"49.757801984, 177.378262528",camillalindsey9226@yahoo.sa,72,08 44 56 43 38,Camilla Lindsey,Ap #525-9866 Id Street,07/10/1977
2,"Ap #678-8414 Montes, St.",gilleach6929@hotmail.sa,12/23/1963,"-42.043165184, -128.825742848",Gil Leach,07 25 82 91 73
"-56.6174345216, 141.3027592192",Hiroko Carver,04 71 21 45 88,959-7246 Et Street,07/14/1953,79,hirokocarver277@aol.ca
08 55 77 54 39,563-962 Diam. St.,"51.2950590464, 160.485529088",Yetta Murray,05/08/1993,yettamurray5958@hotmail.sn,18
quamarmyers2312@aol.ca,93,"55.9003677696, 63.6449818624",Quamar Myers,03/26/1998,"730-4531 Et, Ave",04 86 96 87 21
03/02/1970,1033 Imperdiet St.,zephsosa7634@hotmail.ca,85,Zeph Sosa,04 66 86 11 76,"37.3358526464, -83.7214267392"
malachimcmillan@aol.ci,Malachi Mcmillan,Ap #122-9272 Metus. St.,"23.408653312, 53.8562363392",08 78 51 13 64,01/21/1968,10
79,05/23/1948,09 77 60 74 65,Martena Le,martenale@outlook.ca,1540 Volutpat. Street,"-2.6314727424, -4.64594432"
Stewart Gomez,"-31.47271168, 4.6558287872",1288 Lobortis St.,02/23/1988,05 25 40 93 61,3,stewartgomez443@outlook.gh
nehruspence9969@google.gh,23,10/23/1945,04 33 52 46 44,"P.O. Box 137, 1810 Fusce Rd.",Nehru Spence,"55.6457331712, -141.2233109504"
"P.O. Box 189, 8847 Nec, Rd.",14,stonepatterson@protonmail.com,"-81.1184797696, -131.6019970048",04 34 23 84 22,11/14/1984,Stone Patterson
"-61.6522044416, -18.6196600832",Steel Savage,steelsavage@yahoo.sn,516-9955 Bibendum St.,01/31/1959,10,04 24 79 71 99
"P.O. Box 660, 2282 Eu Ave","-17.2411700224, -157.796154368",62,Emery Tanner,emerytanner1003@hotmail.net,01/26/1955,08 86 50 68 06
30,08/06/1969,myrajordan@icloud.net,"Ap #958-2039 Vel, Avenue",Myra Jordan,08 80 64 46 34,"-41.2216863744, -141.1876924416"
09 16 71 24 18,rogankirkland@protonmail.couk,"P.O. Box 656, 2616 Nullam Avenue",09/26/1964,3,Rogan Kirkland,"81.3822700544, -80.277070336"
"-44.1700611072, -152.048546304","5129 Ante, Rd.",02 50 59 25 81,11/16/1948,75,christopherweaver@icloud.com,Christopher Weaver
10/29/1998,tylerholloway8055@protonmail.ca,Ap #751-2654 Morbi Rd.,03 70 84 31 84,"80.4614559744, 124.4267846656",Tyler Holloway,79
Zachary Bryant,02/14/1994,zacharybryant7817@icloud.org,54,"44.2621689856, 170.7559757824",Ap #350-7305 Et Ave,04 54 20 65 85
553-6119 Convallis Avenue,05 73 26 34 96,64,Hilel Cummings,"20.7630840832, -125.8250744832",hilelcummings7735@icloud.edu,08/02/1959
Minerva Hester,10/25/1950,01 42 34 63 98,903-3607 Facilisis Road,"-46.1799676928, -63.5283012608",34,minervahester@icloud.com
Aristotle Pierce,"P.O. Box 646, 977 Consequat St.",aristotlepierce7702@hotmail.sn,06/18/1980,"56.5193096192, 131.410962944",50,01 66 39 44 87
09/10/1967,30,05 86 54 70 21,gracefarley@outlook.sn,"82.7142398976, 110.0135665664","P.O. Box 638, 565 Gravida Ave",Grace Farley
10/29/1949,"P.O. Box 642, 7144 Dictum Av.",tylercalhoun5358@hotmail.edu,Tyler Calhoun,"-56.8403846144, 94.3586596864",77,03 14 44 87 50
10,gregorygriffith6452@yahoo.net,Gregory Griffith,Ap #136-4105 Mauris Rd.,"17.4050572288, -174.8882956288",03/23/1960,02 46 05 37 61
Ap #118-8443 Ornare Ave,"-63.3847887872, -90.254354944",vanceweeks@hotmail.net,04 58 49 29 64,07/19/1970,43,Vance Weeks
07/02/1977,"35.0951958528, 5.1898406912",lucianmontoya@outlook.sa,04 15 73 22 14,Ap #600-1554 Aliquet Road,71,Lucian Montoya
"-59.2181732352, 88.0244388864",09/18/1945,Rigel Payne,"3610 A, Avenue",61,rigelpayne2021@icloud.couk,01 86 78 52 13
vivienpate1266@protonmail.ca,06/22/1965,Vivien Pate,"72.9347658752, 27.2318797824",7646 Neque Rd.,32,06 83 17 42 14
