email,address,phone,name,residency,region,city,geo_location,lucky_number,nationality,birth_date
vancebradford@protonmail.ci,154-195 Mattis. Avenue,05 17 89 09 13,Vance Bradford,India,Goa,Panjim,"54.7121427456, 22.8083122176",61,Spain,02/28/2000
holleebowman@hotmail.gh,Ap #995-5971 Vitae Avenue,05 95 52 25 68,Hollee Bowman,Chile,Valparaíso,Concón,"-62.7013460992, -122.6482936832",100,France,06/05/1987
virginiagiles@google.couk,123-3168 Neque. St.,08 66 47 43 08,Virginia Giles,France,Aquitaine,Pau,"54.86477312, 62.706153984",48,Pakistan,08/13/1980
lukestewart1815@protonmail.couk,"Ap #606-4515 Non, Avenue",06 42 44 04 35,Luke Stewart,Australia,Western Australia,Joondalup,"-33.3800225792, 163.204995584",85,Poland,06/13/1962
adamhardin@icloud.sa,376-504 Ut St.,02 23 15 96 89,Adam Hardin,Singapore,West Region,Tuas,"-10.187419648, -29.3804483584",51,Austria,02/24/1990
maxinewall7961@protonmail.ci,407-2341 Neque. St.,01 20 19 80 22,Maxine Wall,Colombia,Huila,Neiva,"-67.984599552, -127.6990134272",77,Sweden,05/18/1961
giacomovasquez@yahoo.sn,"P.O. Box 610, 2676 Magna. Ave",04 39 24 47 42,Giacomo Vasquez,India,Odisha,Puri,"76.1589095424, 120.1907329024",37,Costa Rica,05/15/1994
jonahosborn8338@yahoo.ca,Ap #479-8594 Penatibus Street,08 82 75 18 24,Jonah Osborn,Peru,Arequipa,Arequipa,"-83.1148726272, -2.611586048",85,Germany,07/30/1957
brentdennis@aol.gh,549-5605 Dictum Ave,03 15 24 42 43,Brent Dennis,Philippines,Central Luzon,Malolos,"-68.3061988352, -76.7090250752",52,Poland,01/27/1970
lengray6251@yahoo.gh,"P.O. Box 250, 1996 Bibendum. St.",03 91 01 36 43,Len Gray,Ukraine,Chernihiv oblast,Nizhyn,"-73.0440979456, 78.1560045568",37,Sweden,09/08/1947
isabellehammond6651@outlook.sa,"P.O. Box 693, 4859 Facilisis Street",02 25 81 02 02,Isabelle Hammond,Turkey,Konya,Karapınar,"-71.414422016, 52.7959599104",89,Ireland,03/26/1985
danielhayes@yahoo.edu,491-3582 Amet Ave,06 79 53 64 62,Daniel Hayes,United Kingdom,Norfolk,Norwich,"-31.142358016, 145.2654391296",12,Brazil,07/25/2000
vivianholder2956@aol.ca,9144 Scelerisque Avenue,06 35 53 74 33,Vivian Holder,Turkey,Samsun,Terme,"-84.1925510144, 36.4368208896",64,Singapore,05/30/1961
quinnknapp@hotmail.net,Ap #656-6207 Est. St.,09 75 84 65 47,Quinn Knapp,Poland,Podlaskie,Łomża,"-24.1346069504, 74.3269060608",63,Philippines,05/07/1975
chelseahoffman@hotmail.edu,Ap #576-4656 Lectus Avenue,07 95 10 49 42,Chelsea Hoffman,Germany,Bayern,Würzburg,"17.7526496256, -147.0776126464",91,Australia,05/26/1999
alexandrajenkins4537@hotmail.ca,"Ap #247-1727 In, Rd.",09 42 61 09 86,Alexandra Jenkins,Spain,Castilla - La Mancha,Toledo,"0.6823552, 107.6409253888",78,Sweden,01/22/1973
ebonyhebert@yahoo.edu,658-8651 Dapibus St.,06 27 06 53 60,Ebony Hebert,Australia,New South Wales,Goulburn,"3.7266566144, -95.9747838976",63,United Kingdom,10/07/1988
ericabishop5362@icloud.gh,"7415 Non, Ave",07 33 82 11 81,Erica Bishop,France,Alsace,Strasbourg,"-37.5856242688, -3.555491328",45,Singapore,11/08/1982
alexandramayo@aol.gh,7149 Leo St.,04 61 83 62 96,Alexandra Mayo,India,Kerala,Thalassery,"-47.4340929536, 64.7570630656",67,Ukraine,12/22/1970
maraduke@protonmail.gh,Ap #223-4897 Nullam Ave,01 57 61 64 86,Mara Duke,Spain,Comunitat Valenciana,Torrevieja,"56.1777813504, -112.6932775936",13,Netherlands,08/16/1955
reeceworkman@outlook.couk,2147 Donec Ave,01 76 21 38 48,Reece Workman,Costa Rica,Guanacaste,Liberia,"-26.9984137216, 77.6785221632",51,Vietnam,02/07/1958
brynnknowles6869@aol.sn,484-297 Phasellus Av.,07 11 74 08 02,Brynn Knowles,Singapore,Central Region,Novena,"62.686877184, -138.4669395968",17,Poland,12/16/1999
jakeemmccarty8059@yahoo.com,Ap #664-1974 Iaculis Avenue,04 71 61 46 52,Jakeem Mccarty,New Zealand,North Island,Te Puke,"14.5870395392, -56.1257678848",2,United States,02/15/1983
bellsosa2313@protonmail.net,7784 Diam. St.,06 22 68 45 45,Bell Sosa,Turkey,Van,Van,"-59.4095799296, 176.4721251328",70,Netherlands,01/04/1974
wangkey@icloud.ca,"P.O. Box 265, 904 Sed Rd.",02 65 35 02 41,Wang Key,Netherlands,Zeeland,Middelburg,"-82.4147588096, 43.5640701952",89,Mexico,09/03/1957
perryalston426@google.sa,5505 Proin Road,08 43 13 86 38,Perry Alston,Turkey,Kayseri,Kayseri,"78.0367357952, -24.3506332672",27,United Kingdom,11/17/1950
giselamendoza3573@hotmail.ca,"9609 Egestas, St.",04 87 51 28 57,Gisela Mendoza,Australia,Queensland,Bundaberg,"46.7985232896, 166.3567122432",17,France,12/27/1949
warrenrichard939@google.edu,5444 Auctor Av.,08 71 52 67 67,Warren Richard,India,Assam,Guwahati,"16.3105911808, -19.3991914496",70,South Korea,03/22/1964
chantaledecker6579@icloud.org,4586 Pellentesque Avenue,01 42 12 54 08,Chantale Decker,Turkey,Aydın,Aydın,"-46.8127903744, 77.5949751296",94,Chile,03/22/1945
emirowland7841@outlook.sn,"564-5429 At, St.",02 52 55 14 14,Emi Rowland,India,Odisha,Puri,"6.2925699072, 36.3542167552",14,Brazil,04/21/1989
daquanmason@yahoo.sa,247-3963 Dignissim Ave,02 64 83 41 47,Daquan Mason,Ukraine,Zaporizhzhia oblast,Zaporizhzhia,"59.1403864064, -14.2681409536",63,Russian Federation,02/19/1970
iankane@yahoo.ci,Ap #370-5534 Eu Street,04 41 42 21 18,Ian Kane,Australia,Victoria,Bendigo,"23.3520413696, -158.21913856",42,Brazil,11/05/1976
chaseolsen4689@hotmail.sn,Ap #125-461 Lacus. Av.,03 12 56 58 16,Chase Olsen,Mexico,Puebla,Tehuacán,"73.0227818496, 111.7365856256",10,South Africa,11/08/1958
nerocarroll6649@aol.edu,138 Vestibulum Street,05 87 47 75 48,Nero Carroll,Sweden,Dalarnas län,Borlänge,"5.4719785984, 129.3943368704",17,United States,09/22/1976
sydneyconner@aol.couk,Ap #272-4263 Lacinia Rd.,04 57 53 88 42,Sydney Conner,Spain,Extremadura,Cáceres,"24.7433347072, 47.9908503552",76,United Kingdom,06/25/1972
perrycote7925@outlook.couk,249-2048 Phasellus Street,08 27 92 88 83,Perry Cote,Spain,Euskadi,Bilbo,"-58.6198458368, -152.4090980352",18,South Korea,06/23/1997
nicoleayala4015@protonmail.gh,"174-4270 Eu, Rd.",05 82 16 74 86,Nicole Ayala,India,Pondicherry,Pondicherry,"51.710092288, 19.3599419392",93,Chile,04/25/1986
jinwong@protonmail.net,Ap #655-9185 Quis Av.,08 83 24 11 72,Jin Wong,Norway,Trøndelag,Orkanger,"72.9167885312, 34.7833563136",4,Singapore,04/21/1979
normanstewart@outlook.ci,6395 Volutpat. St.,05 27 49 21 14,Norman Stewart,New Zealand,North Island,Matamata,"67.8571932672, -48.1588651008",29,South Africa,04/14/1993
margarethester@aol.ca,Ap #770-6875 Nulla Street,04 98 64 79 32,Margaret Hester,Austria,Styria,Voitsberg,"-59.0544840704, -135.2228409344",92,Canada,03/09/1973
amerynewman@hotmail.sa,751-5585 Luctus. Rd.,06 86 54 91 73,Amery Newman,France,Champagne-Ardenne,Charleville-Mézières,"8.5719269376, 172.3066268672",88,Canada,01/04/1946
wadewilson@outlook.sa,Ap #933-8741 Aliquet Rd.,05 53 31 33 27,Wade Wilson,Turkey,Antalya,Kumluca,"16.8184993792, 123.1735924736",54,Italy,09/02/1987
hirokochen4282@google.org,Ap #868-313 Risus. Rd.,06 16 83 57 92,Hiroko Chen,Canada,New Brunswick,Dieppe,"-17.05425408, -178.5775412224",64,Netherlands,01/03/1964
kennangould6119@yahoo.com,651-7292 Proin Road,03 46 89 44 51,Kennan Gould,Brazil,Minas Gerais,Divinópolis,"-33.755232256, -13.9733553152",71,Belgium,11/29/1952
phelananthony@outlook.ci,865-4496 Praesent Rd.,07 36 13 26 55,Phelan Anthony,Peru,Junín,Tarma,"47.8258250752, 112.900244992",58,Mexico,08/15/1992
kieranjordan@aol.gh,898-9732 Mi Road,03 61 61 11 95,Kieran Jordan,Costa Rica,Limón,Siquirres,"-43.368201216, 26.1907625984",91,Mexico,09/05/1993
ottorussell5289@yahoo.org,808-2858 Eu Ave,03 69 45 86 82,Otto Russell,Australia,Western Australia,Canning,"-74.1284084736, -130.9066635264",59,South Korea,06/19/1967
brentsheppard9411@aol.edu,Ap #813-8591 Eget Av.,06 91 64 70 29,Brent Sheppard,South Korea,Gangwon,Gangneung,"30.1303185408, 22.103248896",68,South Africa,03/05/1956
ravenbarr@protonmail.edu,Ap #115-9183 Nisi Street,07 68 46 26 76,Raven Barr,South Korea,North Jeolla,Iksan,"42.6809749504, 23.5049760768",14,United Kingdom,05/17/1962
yokojones@protonmail.com,4211 Vivamus Street,03 54 36 82 80,Yoko Jones,Ukraine,Chernihiv oblast,Nizhyn,"63.4065833984, 12.2394458112",5,Chile,04/27/1945
desiraeacosta@google.sn,"P.O. Box 818, 6705 Sapien. Avenue",02 55 67 66 63,Desirae Acosta,Italy,Sicilia,Castellana Sicula,"-88.7974836224, 131.802778112",46,Chile,10/26/1997
camerantravis@yahoo.sn,"P.O. Box 724, 2448 Dignissim. St.",02 65 86 81 68,Cameran Travis,Spain,Euskadi,Donosti,"-55.9011642368, 23.4555312128",42,Turkey,07/15/1950
darrelcrosby@google.gh,273-8019 Malesuada St.,07 89 20 39 99,Darrel Crosby,South Africa,Northern Cape,Kuruman,"11.7800728576, 44.216521216",71,Norway,03/01/1980
sarahherman3828@protonmail.sn,865-330 Dapibus Rd.,06 60 21 36 60,Sarah Herman,Chile,Coquimbo,Canela,"57.7926750208, 27.5220767744",16,Netherlands,11/21/1968
hilarylopez@hotmail.sn,Ap #717-7665 Enim. St.,06 67 33 50 25,Hilary Lopez,Poland,Lubelskie,Zamość,"53.281449984, 163.4916975616",47,Ukraine,01/02/1949
stonepitts230@aol.ca,8291 Magna Av.,03 11 69 32 55,Stone Pitts,Poland,Opolskie,Kędzierzyn-Koźle,"15.0612617216, -160.8912380928",74,Turkey,01/18/1982
whileminafletcher@hotmail.edu,Ap #187-8376 Nisl Road,01 01 17 51 56,Whilemina Fletcher,Ireland,Munster,Cork,"-44.6964201472, -24.6653735936",98,South Korea,09/24/1974
tylernunez@yahoo.org,"P.O. Box 799, 5034 Vitae Ave",03 44 36 38 31,Tyler Nunez,United States,Alaska,Juneau,"-4.1216684032, -39.8073091072",37,Brazil,11/21/1952
elizabethortega3323@outlook.sn,Ap #792-5526 Molestie. St.,08 67 12 44 51,Elizabeth Ortega,India,Haryana,Karnal,"-16.0132289536, 89.433805312",32,Brazil,05/21/1996
alexandrareed@yahoo.edu,Ap #184-1969 Donec Road,05 75 59 25 55,Alexandra Reed,Nigeria,Katsina,Funtua,"63.7216482304, -7.400659968",55,Canada,05/13/1970
abdulchapman9140@outlook.gh,"733-8967 Consequat, Ave",07 02 06 23 74,Abdul Chapman,Russian Federation,Kirov Oblast,Kirov,"49.0629543936, 143.9079958528",71,Pakistan,05/21/1960
markweeks@protonmail.gh,Ap #997-3408 Tristique Rd.,02 30 66 12 14,Mark Weeks,Australia,Queensland,Hervey Bay,"-50.6426149888, 18.7475407872",24,Colombia,01/27/1959
guineverepowell@google.couk,"8392 Consectetuer, Av.",07 44 67 86 74,Guinevere Powell,France,Aquitaine,Pessac,"-31.4982981632, -101.336692736",32,Netherlands,11/30/1974
carlosle8850@google.edu,783-7850 Malesuada St.,04 48 04 26 34,Carlos Le,Brazil,Minas Gerais,Ipatinga,"-2.8190849024, -47.50281984",48,Indonesia,09/23/1969
elizabethbuckner@yahoo.sa,148-4805 Felis. St.,05 79 34 78 80,Elizabeth Buckner,Brazil,São Paulo,Campinas,"-2.6910205952, 129.964613632",57,Peru,10/31/1962
lauraevans638@hotmail.edu,"Ap #780-580 Enim, St.",06 48 52 74 65,Laura Evans,Austria,Carinthia,Völkermarkt,"-51.91161088, -48.2269026304",53,Sweden,06/17/1987
teaganklein2291@google.couk,Ap #909-5343 Aenean St.,02 67 92 63 05,Teagan Klein,Norway,Viken,Drammen,"-26.0737926144, -50.0513352704",39,Canada,11/08/1964
kellywheeler6993@google.edu,Ap #377-7630 Dolor Road,02 24 14 27 94,Kelly Wheeler,Turkey,Gaziantep,Nizip,"6.416757248, 73.828313088",16,Chile,12/10/1998
teegankey3895@google.couk,"576-6891 Tellus, St.",02 81 75 12 16,Teegan Key,Ukraine,Ternopil oblast,Chortkiv,"24.0893402112, 28.8288334848",66,Netherlands,10/07/1989
keanealvarado@icloud.gh,Ap #859-8036 Ultricies St.,03 22 92 32 88,Keane Alvarado,United Kingdom,Ayrshire,Irvine,"30.7252539392, -121.890173952",88,Vietnam,06/01/1984
rhiannoncruz@outlook.com,4754 Pellentesque Ave,07 18 68 77 85,Rhiannon Cruz,Brazil,Rio Grande do Sul,Santa Maria,"89.6697677824, -4.678630912",71,Australia,08/05/1985
guypatrick2061@icloud.com,230-1221 In Road,02 27 53 53 84,Guy Patrick,Ireland,Leinster,Dublin,"35.9253184512, 31.1125666816",44,Singapore,12/12/1967
melindarivers8453@aol.gh,Ap #879-6272 Mi Rd.,05 13 26 78 26,Melinda Rivers,Poland,Lubuskie,Gorzów Wielkopolski,"-61.038450176, 137.6445452288",21,Colombia,12/14/1993
vedahendricks3607@protonmail.org,"P.O. Box 450, 1198 Enim. Rd.",09 66 63 36 81,Veda Hendricks,Nigeria,Delta,Sapele,"-66.0712641536, 54.8260857856",60,Brazil,04/16/1961
yoshiolawrence1194@protonmail.edu,"P.O. Box 245, 8417 Eget Ave",07 28 16 93 45,Yoshio Lawrence,New Zealand,North Island,Taupo,"22.3035144192, 120.2126565376",55,Brazil,09/11/1954
hedynorman@icloud.sa,669-3812 Vulputate Av.,02 72 66 48 56,Hedy Norman,Ireland,Leinster,Dublin,"82.4072187904, -99.044747776",79,Pakistan,02/13/1974
risaray5354@protonmail.net,6054 Pede. Av.,07 15 75 77 58,Risa Ray,Spain,Castilla y León,León,"54.4771028992, 160.3138315264",101,Austria,09/22/1973
harrisonbritt4460@hotmail.sn,Ap #716-5886 Proin St.,03 26 93 96 59,Harrison Britt,Colombia,Santander,Piedecuesta,"-25.719929856, -65.8268178432",87,United States,03/25/1967
henrybell4754@aol.com,Ap #753-2185 Imperdiet St.,05 73 65 09 29,Henry Bell,Brazil,Paraná,Paranaguá,"-52.2291058688, -131.1739136",30,Australia,07/07/1991
damianfrederick@aol.ca,9577 A Rd.,01 80 53 36 11,Damian Frederick,Singapore,North Region,Lim Chu Kang,"77.793309184, -17.4920476672",49,New Zealand,08/05/1991
randallstewart4812@hotmail.sn,Ap #896-2383 Ridiculus Av.,06 02 16 51 92,Randall Stewart,Ukraine,Zaporizhzhia oblast,Berdiansk,"24.96862464, -127.481276416",28,South Korea,04/08/1970
noralambert664@aol.sa,"Ap #112-6982 Elit, Rd.",06 84 82 71 78,Nora Lambert,United Kingdom,Berkshire,Wokingham,"-84.2804240384, -29.6523451392",98,Indonesia,08/21/1994
noellemills@outlook.org,"P.O. Box 640, 5363 Neque Av.",05 66 53 43 01,Noelle Mills,Canada,British Columbia,Stewart,"-0.3947972608, 144.9863554048",58,Sweden,06/17/1965
chelseapope@outlook.edu,"P.O. Box 183, 752 Interdum. Ave",04 46 87 76 68,Chelsea Pope,Chile,Atacama,Caldera,"76.1457349632, 177.315900928",63,United States,02/19/1998
alisahartman2624@hotmail.gh,8206 Consequat St.,05 58 08 11 69,Alisa Hartman,Poland,Podlaskie,Suwałki,"24.6889977856, -97.2036235264",94,Netherlands,12/02/1952
carapittman@aol.ci,816-9293 Donec Street,07 44 67 73 81,Cara Pittman,South Korea,North Chungcheong,Chungju,"29.1694133248, 50.0437625856",23,Canada,08/26/1964
minervaholder@yahoo.couk,"P.O. Box 937, 8510 Magna. Avenue",08 75 63 77 17,Minerva Holder,Chile,O'Higgins,Codegua,"-55.5923818496, -108.9188161536",77,Australia,05/10/1960
irenecobb4447@aol.org,"267-3536 Non, Ave",02 14 31 68 50,Irene Cobb,Costa Rica,Cartago,San Rafael,"-52.914636288, 12.8117992448",13,New Zealand,02/17/1949
vannabattle1600@outlook.ci,748-4310 Nulla St.,04 04 56 12 06,Vanna Battle,France,Lorraine,Vandoeuvre-lès-Nancy,"65.0844535808, -112.4364253184",2,Philippines,05/06/1986
cedricsteele@aol.org,436-846 Arcu Rd.,05 68 25 23 61,Cedric Steele,China,Huáběi,Shanxi,"31.7037375488, -26.0529210368",76,Poland,08/14/1953
ahmedcleveland@hotmail.couk,"Ap #509-5232 Nec, Road",02 13 91 58 48,Ahmed Cleveland,Philippines,Bicol Region,Ligao,"-54.8723972096, 20.2822990848",54,Philippines,02/08/1978
erichbrady8996@hotmail.sa,Ap #930-9228 Egestas Rd.,05 54 46 89 89,Erich Brady,South Korea,North Chungcheong,Chungju,"3.0798675968, -53.1899508736",30,South Africa,01/23/2000
ezragiles3527@outlook.ca,343-3320 Non Street,01 82 78 40 22,Ezra Giles,Australia,Northern Territory,Darwin,"-84.979508736, -29.1588644864",8,Italy,03/19/1951
jaelsteele7720@protonmail.gh,"P.O. Box 469, 3668 Arcu Road",04 63 54 55 72,Jael Steele,Poland,Wielkopolskie,Poznań,"-7.4829319168, 31.27908608",14,Netherlands,03/05/1996
fayyang@google.edu,Ap #356-5893 Ultricies Av.,06 60 54 73 62,Fay Yang,China,Dōngběi,Jilin,"-56.2725348352, -85.0017366016",54,Nigeria,09/04/1991
castorayala@hotmail.sa,Ap #513-1937 Fermentum Rd.,02 87 25 88 00,Castor Ayala,Costa Rica,Alajuela,Alajuela,"-19.6293060608, 170.2694550528",30,Colombia,05/27/1995
urielleellison@icloud.edu,"393-4883 Pellentesque, Avenue",03 71 37 68 57,Urielle Ellison,Austria,Styria,Leoben,"-56.8802613248, -161.0709060608",77,Austria,08/06/1968
jenanixon4000@yahoo.couk,2134 Donec Rd.,05 32 42 55 84,Jena Nixon,Turkey,Kayseri,Yahyalı,"70.439610368, -157.4458848256",62,Canada,05/21/1984
augustmeyer@protonmail.edu,320-2062 Tortor. Road,07 41 82 62 27,August Meyer,Australia,South Australia,Port Lincoln,"88.8889869312, 160.3336620032",17,Singapore,05/08/1958
lionelcharles9171@outlook.ca,"676-9103 Est, St.",02 57 31 76 44,Lionel Charles,Ukraine,Dnipropetrovsk oblast,Kryvyi Rih,"-3.977040896, -171.0801506304",55,Singapore,04/12/1993
kenyonglass8855@icloud.ci,597-3077 Non St.,06 21 67 34 71,Kenyon Glass,Vietnam,Thái Bình,Diêm Điền,"-57.7516224512, -136.6723591168",17,Colombia,09/24/1968
francescaperez@outlook.ci,825-1362 Ipsum. Road,03 62 20 58 92,Francesca Perez,Costa Rica,Heredia,San Francisco,"-56.5175747584, 54.5250432",77,Belgium,11/12/1982
guygillespie2232@icloud.ci,Ap #457-4651 Arcu. Rd.,09 88 40 76 82,Guy Gillespie,Germany,Berlin,Berlin,"-72.520674304, 72.9619780608",3,Ukraine,01/02/1997
griffithpetty5536@icloud.ci,3478 Aliquet St.,01 47 84 57 04,Griffith Petty,Turkey,Istanbul,Istanbul,"-50.228471296, 34.450767872",11,South Africa,03/09/1997
willowkramer6223@protonmail.sa,832-4311 Pellentesque Avenue,05 55 24 13 55,Willow Kramer,South Africa,Western Cape,Bellville,"36.9209092096, 151.4883232768",53,Sweden,01/17/1961
barbarasnyder@aol.sn,Ap #851-530 Turpis Av.,01 46 53 96 45,Barbara Snyder,France,Pays de la Loire,Cholet,"18.0161570816, 54.8968720384",44,Vietnam,03/24/1986
allensolis7640@outlook.sa,Ap #747-642 Nec Rd.,07 48 51 85 79,Allen Solis,Sweden,Jönköpings län,Vetlanda,"-72.505900032, -40.2627956736",69,Russian Federation,10/23/1975
cyruspeterson@protonmail.com,681-8331 Amet Avenue,06 88 40 65 33,Cyrus Peterson,Peru,Puno,Puno,"-9.2630402048, 88.5652836352",57,Pakistan,12/07/1968
lylesparks7152@hotmail.org,"P.O. Box 511, 8762 Non St.",04 82 40 65 48,Lyle Sparks,Italy,Friuli-Venezia Giulia,Polcenigo,"6.620148224, -125.8264131584",34,Colombia,07/03/1972
marthatucker7367@hotmail.net,Ap #233-4084 Massa. Street,07 94 80 82 18,Martha Tucker,Indonesia,Aceh,Banda Aceh,"-73.3357632512, -79.5142595584",28,Vietnam,12/09/1951
mckenziehampton5988@protonmail.ci,8355 Risus. Road,08 76 64 43 68,McKenzie Hampton,Sweden,Stockholms län,Tumba,"-80.7458345984, 178.0609004544",39,Pakistan,10/20/1957
stellaowens@aol.gh,"P.O. Box 110, 3418 Fusce Road",03 64 54 18 33,Stella Owens,Ireland,Connacht,Galway,"-0.0530101248, 84.7711618048",11,Costa Rica,07/04/1978
levihumphrey7488@icloud.org,Ap #633-2456 Quis Rd.,07 23 13 48 57,Levi Humphrey,Austria,Vorarlberg,Götzis,"-24.960666624, 14.5829522432",94,Spain,11/20/1960
michellemcmahon@icloud.ci,Ap #497-5421 Tempus Rd.,08 36 99 18 21,Michelle Mcmahon,South Korea,Gangwon,Wonju,"19.3474238464, 117.9346171904",49,Costa Rica,07/22/1993
clintonhart@icloud.gh,Ap #549-7835 Venenatis St.,07 78 15 35 04,Clinton Hart,South Korea,South Jeolla,Mokpo,"79.5097243648, -91.2157867008",46,Mexico,08/24/1957
whileminachapman3637@protonmail.sa,4759 Diam Ave,07 23 15 07 48,Whilemina Chapman,Australia,Tasmania,Devonport,"-18.1709863936, -47.8820219904",69,Mexico,08/02/1958
freyaboyle9463@yahoo.edu,511-2783 Malesuada St.,02 71 12 55 58,Freya Boyle,Poland,Lubuskie,Gorzów Wielkopolski,"80.9456731136, -76.8312590336",63,South Africa,12/23/1999
calistapope@yahoo.edu,1941 Fermentum St.,02 30 35 08 68,Calista Pope,Colombia,Quindío,Armenia,"-73.333961728, -77.625571328",34,United Kingdom,06/23/1975
quinmcclure5102@protonmail.couk,"P.O. Box 876, 7786 Class Rd.",01 48 36 03 46,Quin Mcclure,South Africa,Western Cape,Simon's Town,"30.4355396608, 123.2316772352",53,Russian Federation,11/18/1992
auroracampbell6589@aol.edu,522-5553 Magna Ave,03 18 21 50 23,Aurora Campbell,Colombia,Tolima,Ibagué,"-32.1186765824, -151.6727155712",11,Sweden,09/03/1999
