email,address,phone,name,residency,region,city,geo_location,lucky_number,nationality,birth_date
nigelpeters5340@protonmail.couk,374-9744 Elementum Rd.,06 88 86 38 53,Nigel Peters,Singapore,North Region,Central Water Catchment,"74.4129399808, 145.8139674624",66,Spain,07/01/1950
vancekelley@yahoo.gh,537-992 Laoreet Street,08 91 13 60 24,Vance Kelley,South Africa,Free State,Sasolburg,"-19.7104504832, -175.3415166976",14,Mexico,01/08/1983
coramckay@google.org,445-4119 Arcu. Avenue,02 34 12 56 21,Cora Mckay,Belgium,Antwerpen,Hoogstraten,"82.1059494912, 169.2736557056",55,South Korea,12/09/1945
moanawillis@google.edu,591-5435 Nibh Rd.,09 14 81 78 27,Moana Willis,Costa Rica,Guanacaste,Liberia,"67.0723877888, -174.0166938624",42,Ireland,11/05/1946
hayesvinson@aol.ci,608-680 Mauris. St.,01 37 24 34 97,Hayes Vinson,Turkey,Kocaeli,Gölcük,"-34.3320912896, 110.1737531392",95,United Kingdom,04/22/1945
oliverjordan4667@outlook.edu,"4510 Elit, Street",06 77 85 51 84,Oliver Jordan,Vietnam,Ninh Thuận,Phan Rang–Tháp Chàm,"40.1596259328, 12.339920896",55,South Africa,11/01/1974
azaliacooke8851@google.sn,266-387 Mauris St.,09 01 45 23 88,Azalia Cooke,Norway,Vestland,Florø,"71.9680418816, 111.2910159872",44,Canada,04/24/1959
prescottgill@aol.couk,"8796 Id, Ave",08 24 45 37 87,Prescott Gill,Spain,Melilla,Melilla,"26.18215936, 106.5376971776",72,Philippines,11/23/1963
rowanmorris@icloud.couk,Ap #466-9115 Integer Avenue,07 12 96 58 34,Rowan Morris,Singapore,North-East Region,Hougang,"32.8016728064, -163.1401735168",67,New Zealand,05/05/1963
ferdinandchurch@outlook.ca,"P.O. Box 763, 4555 Non, Rd.",04 89 96 42 35,Ferdinand Church,Austria,Vienna,Vienna,"-28.7193786368, -172.3354761216",77,Pakistan,02/24/1952
anjoliedyer6155@yahoo.gh,4470 Vitae St.,08 63 45 75 92,Anjolie Dyer,Turkey,Manisa,Manisa,"3.1854952448, -136.811472896",35,Pakistan,10/02/1986
ramonasoto9017@outlook.sn,"P.O. Box 657, 7332 Eu Street",05 04 17 24 35,Ramona Soto,Poland,Warmińsko-mazurskie,Olsztyn,"79.1142099968, -132.8238139392",17,Russian Federation,05/23/1949
brendanwagner7687@hotmail.ca,Ap #593-1225 Molestie Rd.,08 24 32 14 40,Brendan Wagner,Austria,Salzburg,Salzburg,"-13.5957367808, -124.49125888",4,United States,08/16/1960
jeremymacias@outlook.ci,1729 Dictum Street,03 21 60 85 62,Jeremy Macias,Peru,La Libertad,Trujillo,"-37.5260137472, -93.3577260032",69,Italy,01/28/1961
brynnfrank@protonmail.sa,742-1704 Dolor. Av.,06 35 28 45 81,Brynn Frank,Sweden,Stockholms län,Täby,"-69.9899393024, -36.9668798464",78,Pakistan,03/15/1961
shaypearson4683@outlook.com,183-5100 Pede. Road,02 47 18 14 37,Shay Pearson,Australia,New South Wales,Campbelltown,"-58.5888790528, 37.9794711552",90,Chile,05/22/1958
whileminasparks6891@aol.couk,"P.O. Box 865, 8890 Velit St.",06 02 52 91 82,Whilemina Sparks,Russian Federation,Tver Oblast,Tver,"31.0164880384, -108.1336205312",98,Canada,08/19/1947
lynnlloyd@icloud.org,Ap #362-7709 Dapibus Rd.,08 29 10 53 89,Lynn Lloyd,New Zealand,North Island,Waiheke Island,"-56.4043516928, 54.5592095744",67,France,06/27/1991
orlimalone1401@aol.ci,Ap #425-4114 Consequat Rd.,08 27 44 67 26,Orli Malone,France,Poitou-Charentes,Poitiers,"10.9866934272, -165.76064",87,Brazil,11/01/1951
brentstevenson3843@outlook.net,"415-2620 A, Ave",08 12 64 28 10,Brent Stevenson,China,Dōngběi,Liaoning,"-39.4962624512, -57.77160192",51,New Zealand,11/23/1970
reesesuarez7491@icloud.edu,334 Tincidunt St.,04 45 83 01 13,Reese Suarez,Belgium,Brussels Hoofdstedelijk Gewest,Ukkel,"78.4244655104, -46.0643048448",72,Canada,01/26/2000
brianstanton9327@icloud.org,493-6389 Fermentum Rd.,06 82 58 80 82,Brian Stanton,United States,Mississippi,Southaven,"70.5465244672, 25.312378368",5,Turkey,02/24/1971
anjoliebuckner8955@outlook.org,Ap #473-2464 Imperdiet Rd.,07 43 99 66 11,Anjolie Buckner,Mexico,Guanajuato,León,"-23.0031574016, -26.6058123264",80,Russian Federation,03/27/1993
jesciestephens@aol.ci,"314-9934 Purus, St.",08 66 72 04 51,Jescie Stephens,Colombia,Cauca,Popayán,"-88.9558867968, -169.792395776",21,Vietnam,01/16/1954
mirandalove@hotmail.couk,"P.O. Box 245, 4572 Sollicitudin Av.",04 81 83 62 35,Miranda Love,Belgium,Henegouwen,Lompret,"-86.8588540928, -110.6247626752",71,France,01/12/1957
rachelgardner4655@google.net,4119 Duis St.,02 04 16 90 95,Rachel Gardner,New Zealand,South Island,Wanaka,"25.1621801984, -62.860046336",92,Canada,01/20/1982
laviniahuffman4615@google.edu,Ap #777-3453 Dolor. Rd.,06 29 99 98 47,Lavinia Huffman,Poland,Lubelskie,Biała Podlaska,"-17.3489872896, 90.8440141824",19,Canada,07/08/1956
bradycrosby@icloud.com,275-6442 Metus. Road,07 87 98 67 36,Brady Crosby,Austria,Vorarlberg,Altach,"-36.8284694528, -160.12416512",71,Peru,01/05/1961
porterfleming5847@aol.org,Ap #349-6386 Fusce Street,08 28 98 05 60,Porter Fleming,South Africa,Limpopo,Seshego,"-71.004008448, -6.7356735488",61,Colombia,06/29/1977
patrickdale@hotmail.net,Ap #782-5698 Ridiculus St.,05 43 78 07 11,Patrick Dale,South Korea,Gyeonggi,Uijeongbu,"83.8288934912, 74.3550491648",85,Australia,01/18/1945
jemimamays4033@icloud.sa,6339 Phasellus Rd.,06 29 79 21 44,Jemima Mays,United Kingdom,Sussex,Brighton,"1.9565481984, 62.396232704",11,Austria,07/06/1971
brandonfisher5484@yahoo.couk,7096 Non Road,02 26 59 73 41,Brandon Fisher,China,Dōngběi,Jilin,"-33.2241477632, 7.0599378944",44,Russian Federation,08/21/1999
williamchambers@protonmail.sa,923-8407 Proin Road,08 98 18 75 20,William Chambers,South Africa,Free State,Parys,"-21.8814244864, -125.7946688512",49,Sweden,08/13/1963
danielvega51@icloud.couk,376-2082 Gravida St.,07 85 64 42 79,Daniel Vega,United Kingdom,Durham,Washington,"-8.119021056, 14.4942647296",12,Colombia,01/26/1986
scarlettphelps9125@icloud.couk,Ap #234-298 Aliquam Ave,08 40 41 58 82,Scarlett Phelps,Russian Federation,Voronezh Oblast,Voronezh,"-4.0577420288, 41.5627568128",5,France,12/16/1988
graidenmclean5875@icloud.ci,240-4785 Malesuada. Rd.,03 56 09 52 82,Graiden Mclean,India,Bihar,Patna,"38.8644429824, -43.0537764864",42,Costa Rica,03/23/1987
paulpotter6329@protonmail.ci,8699 Sed Street,07 36 25 21 98,Paul Potter,Turkey,Istanbul,Istanbul,"7.3231679488, 35.2436447232",67,United States,06/05/1973
biancapitts5689@outlook.edu,8047 Dictum Av.,09 32 79 37 57,Bianca Pitts,South Africa,Western Cape,Worcester,"-80.7033751552, -18.7963242496",81,Russian Federation,04/29/1985
malcolmclay3024@outlook.org,Ap #469-8912 Tempus Av.,02 15 79 45 28,Malcolm Clay,Spain,Ceuta,Ceuta,"25.3728359424, -10.0157254656",29,Philippines,07/21/1965
wilmalarsen3418@hotmail.sn,599-8560 Pharetra. Ave,02 14 31 36 11,Wilma Larsen,Colombia,Chocó,Alto Baudó,"61.541468672, -74.3067406336",55,Italy,05/29/1975
dorothykramer4864@outlook.ca,"P.O. Box 917, 6241 Tristique Road",06 47 11 02 03,Dorothy Kramer,Singapore,East Region,Changi Bay,"-73.3693053952, -122.143401472",60,Sweden,04/07/1970
davisbarber3059@outlook.net,Ap #572-9192 Dictum. Avenue,07 05 33 67 66,Davis Barber,Turkey,Kahramanmaraş,Afşin,"-71.5546386432, -136.1302969344",73,Canada,02/25/1956
nathanieldavidson@protonmail.com,841-1488 Elit Road,04 92 17 86 33,Nathaniel Davidson,Italy,Calabria,San Demetrio Corone,"-81.0347047936, 64.0516552704",43,France,09/24/1966
lacotamelendez@protonmail.org,"P.O. Box 599, 7040 Lacinia. Rd.",07 84 24 84 17,Lacota Melendez,South Africa,Limpopo,Lebowakgomo,"47.8751434752, 32.556051968",2,Poland,04/12/1962
clarkerojas6190@google.gh,698-1023 Metus. St.,02 34 27 65 58,Clarke Rojas,South Korea,North Jeolla,Gunsan,"46.903028736, 98.4278682624",7,Netherlands,10/30/1950
beviswilliam@google.ca,8210 Urna Rd.,08 42 32 55 24,Bevis William,Australia,Victoria,Melton,"12.910857728, 47.6487762944",78,Chile,04/19/1993
palomamyers4632@yahoo.net,119-4109 Arcu. Rd.,05 07 14 86 56,Paloma Myers,India,Arunachal Pradesh,Itanagar,"57.3282884608, -61.9718969344",9,Belgium,02/02/1990
xavierbass@yahoo.org,"P.O. Box 534, 3618 Ornare, Rd.",03 78 48 44 64,Xavier Bass,Australia,New South Wales,Goulburn,"46.7966777344, -107.0341028864",44,Russian Federation,12/19/1983
gradycarey6220@hotmail.sa,734-3086 Nullam Street,05 41 75 51 36,Grady Carey,Philippines,Central Visayas,Bais,"18.11232256, -147.5994413056",13,China,10/17/1957
hyacinthhendricks6727@yahoo.gh,"327-2418 Tempor, Av.",07 40 42 31 84,Hyacinth Hendricks,Chile,Magallanes y Antártica Chilena,Laguna Blanca,"84.4630078464, -107.9505074176",6,Norway,07/13/1981
donnalawson2578@protonmail.com,Ap #922-2952 Tincidunt St.,03 30 25 72 19,Donna Lawson,Australia,Australian Capital Territory,Canberra,"51.3681437696, 133.3148493824",64,Spain,01/26/1974
noblekent1128@yahoo.edu,"P.O. Box 223, 6270 Nam Rd.",03 48 14 18 78,Noble Kent,Italy,Molise,Sant'Angelo Limosano,"-79.1577580544, 44.3177020416",3,Colombia,02/04/1950
karlyclark@yahoo.ca,3290 Aliquam Rd.,07 58 38 41 16,Karly Clark,Italy,Liguria,Mignanego,"-28.955953152, -10.3686606848",39,India,04/10/1994
linusnielsen@yahoo.edu,Ap #447-2244 Lorem Avenue,07 84 94 33 39,Linus Nielsen,South Africa,North West,Klerksdorp,"-64.0867700736, 60.5079303168",50,Italy,01/08/1949
nellmorrow9079@icloud.net,Ap #795-4365 Dui. Rd.,06 11 15 43 76,Nell Morrow,Austria,Vorarlberg,Dornbirn,"49.5815624704, 67.290906112",71,Austria,01/20/1994
shellieolson3276@yahoo.couk,581-5347 Sed Road,03 55 21 61 96,Shellie Olson,New Zealand,North Island,Gisborne,"-16.6415833088, 54.9365920768",66,India,09/18/1987
alyssabailey8287@google.couk,705-7280 Donec Street,02 77 14 11 18,Alyssa Bailey,China,Xīběi,Ningxia,"17.135524864, -138.8304033792",51,Philippines,05/14/1949
patiencenolan@hotmail.edu,"8476 Dolor, Street",02 96 61 60 43,Patience Nolan,Brazil,Paraíba,Santa Rita,"19.3594790912, 132.5203233792",47,Italy,11/09/1995
aaronbuckley763@icloud.net,"Ap #849-7136 At, Road",05 23 13 52 80,Aaron Buckley,France,Limousin,Brive-la-Gaillarde,"67.2916159488, -160.8145216512",58,Ireland,01/25/1958
yeoshaw2234@outlook.gh,"Ap #529-1426 Pede, Rd.",04 63 05 35 08,Yeo Shaw,Philippines,Eastern Visayas,Catbalogan,"83.662629888, 84.731938816",28,Costa Rica,11/21/1986
judithhughes@protonmail.sn,Ap #881-4793 Mattis Ave,06 56 52 78 63,Judith Hughes,South Africa,North West,Rustenburg,"-10.1795146752, -46.3725797376",28,Australia,03/19/1958
lylebauer@aol.ca,"P.O. Box 630, 4163 Leo. Av.",05 77 22 74 99,Lyle Bauer,South Africa,Mpumalanga,Emalahleni,"82.976171008, 46.0389392384",93,Sweden,07/15/2000
keatonsears6245@icloud.ci,536-5947 Amet Road,05 54 27 07 91,Keaton Sears,France,Midi-Pyrénées,Castres,"-14.5629520896, 137.8207896576",8,United States,10/03/1945
harperlowe3409@protonmail.com,214-3594 Mollis. Rd.,08 34 45 55 53,Harper Lowe,Turkey,Kayseri,Develi,"65.3286409216, 32.0971866112",97,United Kingdom,01/28/1991
dianaodonnell9774@google.ci,Ap #618-135 Malesuada Ave,05 37 02 31 39,Diana O'donnell,United Kingdom,Glamorgan,Caerphilly,"79.8507942912, 118.806868992",85,Sweden,01/23/1960
jaelcarroll9275@icloud.com,"P.O. Box 488, 967 In Av.",08 87 32 52 92,Jael Carroll,Sweden,Dalarnas län,Mora,"27.9041041408, -71.5457477632",51,Germany,05/14/1983
evevaughn1302@hotmail.edu,844-2673 Lectus St.,06 86 62 98 52,Eve Vaughn,Sweden,Dalarnas län,Borlänge,"-32.1764719616, -52.92726784",38,Spain,04/23/1981
brittanyfrancis@hotmail.gh,"P.O. Box 704, 7045 Dolor St.",07 22 52 36 87,Brittany Francis,United States,Iowa,Iowa City,"45.2331329536, -33.8526967808",47,Singapore,10/26/1946
ottoroman6401@aol.com,"P.O. Box 159, 6324 Nonummy Rd.",04 25 88 10 52,Otto Roman,France,Auvergne,Montluçon,"39.0374936576, 78.0278807552",77,Brazil,02/24/2000
bakerrice@google.gh,"P.O. Box 101, 2672 Nunc. Av.",02 31 35 86 18,Baker Rice,Pakistan,Punjab,Rawalpindi,"-26.459941376, -121.8994574336",89,United Kingdom,11/29/1976
emersonhoffman@yahoo.org,Ap #920-6426 Dapibus Rd.,04 57 40 62 46,Emerson Hoffman,South Korea,South Gyeongsang,Ulsan,"20.5440458752, -122.7964806144",41,Spain,01/20/1971
jolenemelton8848@icloud.sn,"6290 Vitae, St.",06 65 68 71 31,Jolene Melton,Singapore,North-East Region,North-Eastern Islands,"-13.6345162752, 48.6874925056",2,Indonesia,12/04/1981
vincentblair@hotmail.net,"P.O. Box 975, 9869 Ante Ave",03 17 90 40 46,Vincent Blair,Australia,South Australia,Victor Harbor,"56.3319922688, -135.1179129856",2,New Zealand,12/13/1974
dalemarshall8869@yahoo.ci,Ap #580-2041 Lobortis St.,05 75 46 94 23,Dale Marshall,Singapore,Central Region,Rochor,"23.454167552, -23.438265856",30,China,08/13/1959
channinghorne9953@aol.com,830-309 Arcu Road,04 65 11 35 18,Channing Horne,Pakistan,Azad Kashmir,Rawalakot,"-62.542099456, 17.1390910464",20,Peru,07/01/1946
matthewferrell@yahoo.ca,"P.O. Box 926, 3885 Pellentesque St.",09 43 65 66 21,Matthew Ferrell,Singapore,North Region,Sembawang,"39.8847286272, -138.9370037248",61,United States,07/07/1978
honoratocampbell4536@aol.org,795-608 Eu Rd.,04 86 11 82 24,Honorato Campbell,New Zealand,South Island,Oamaru,"43.8816499712, -133.2112237568",3,Italy,10/01/1968
veratyler@protonmail.net,691-969 Mauris Street,02 19 63 29 27,Vera Tyler,Colombia,Guainía,Barranco Minas,"-12.217913856, -65.0670811136",71,Norway,10/18/1961
damianlopez@aol.gh,Ap #671-7984 Dapibus Rd.,05 01 74 93 55,Damian Lopez,China,Zhōngnán,Hubei,"-12.4778011648, 159.714509312",102,Italy,11/07/1986
akeemburt@outlook.gh,670-3057 Ipsum Road,04 28 38 91 45,Akeem Burt,France,Picardie,Saint-Quentin,"30.0613233664, -176.7371743232",82,Poland,10/16/1987
rosshendrix@outlook.ca,Ap #518-9303 Pede Av.,05 81 42 73 61,Ross Hendrix,South Korea,Gyeonggi,Seongnam,"-14.4458678272, -45.3778604032",49,Nigeria,05/26/1990
tigertrujillo@yahoo.gh,"P.O. Box 533, 6336 Sapien. Road",08 24 83 45 26,Tiger Trujillo,India,Maharastra,New Bombay,"30.6729617408, -31.743810048",31,United Kingdom,08/22/1978
risanash5860@protonmail.ca,Ap #822-6215 Fusce Av.,07 65 62 42 20,Risa Nash,Philippines,National Capital Region,Taguig,"18.7227061248, 160.6950905856",78,Nigeria,03/31/1964
ulricdalton5497@icloud.couk,"P.O. Box 127, 8514 At Av.",02 71 49 06 15,Ulric Dalton,Costa Rica,Limón,Guápiles,"-79.2541392896, 136.6959762432",27,New Zealand,06/24/1975
nolanduran5513@yahoo.org,"P.O. Box 699, 2964 Et St.",05 44 98 84 87,Nolan Duran,Italy,Lazio,Castel di Tora,"81.2236215296, -20.1183105024",58,Singapore,06/13/1971
ziarowe5872@hotmail.edu,"Ap #471-6664 Vel, Road",03 99 02 87 22,Zia Rowe,Indonesia,West Sumatra,Padang,"-89.1997251584, 103.9201379328",87,Pakistan,01/22/1968
samuelaustin@google.com,569-9077 Dolor Ave,03 30 17 71 57,Samuel Austin,Vietnam,Vĩnh Phúc,Hợp Hòa,"-81.648078336, -71.2663123968",49,Sweden,10/23/1988
stellagreer6769@icloud.com,1102 Mi Rd.,07 24 40 40 45,Stella Greer,Ukraine,Cherkasy oblast,Uman,"4.587666432, 21.50540544",100,Belgium,02/12/1996
maisiehale9982@hotmail.couk,Ap #173-5559 Praesent Road,03 82 25 41 59,Maisie Hale,Australia,South Australia,Murray Bridge,"41.3742692352, -10.0282730496",5,Philippines,01/15/1969
nellevaldez1327@aol.org,9381 Molestie Ave,08 13 78 21 54,Nelle Valdez,Indonesia,North Kalimantan,Tarakan,"-15.635740672, 50.5294575616",9,France,05/18/1957
kadeemwalker4294@yahoo.com,"Ap #979-5758 Eleifend, Road",03 53 60 09 02,Kadeem Walker,Germany,Nordrhein-Westphalen,Hamm,"34.6317275136, 177.6917950464",78,United Kingdom,11/17/1983
coltbooth1298@yahoo.net,944-3446 Ipsum Ave,06 62 42 15 23,Colt Booth,Nigeria,Lagos,Lagos,"-87.443955712, -112.7637224448",14,New Zealand,01/27/1947
morganrichard319@hotmail.sa,"P.O. Box 190, 7856 Ligula Road",05 30 81 69 34,Morgan Richard,United States,Wisconsin,Kenosha,"-10.2294009856, -67.9596634112",36,Poland,10/20/1985
mageepatrick@aol.gh,"P.O. Box 892, 5549 Gravida. Street",06 74 32 73 44,Magee Patrick,Colombia,Putumayo,Puerto Guzmán,"10.9928876032, 83.2649294848",96,Costa Rica,11/19/1947
porterramos@google.edu,Ap #631-8059 Sodales Avenue,09 14 18 61 07,Porter Ramos,India,Lakshadweep,Kavaratti,"62.1443565568, 77.0559954944",39,Ireland,01/23/1974
caesarjuarez@icloud.gh,Ap #612-5076 Nascetur Rd.,05 79 27 89 55,Caesar Juarez,New Zealand,South Island,Timaru,"66.6214303744, -28.3984559104",82,India,03/19/1995
marvingillespie3503@hotmail.net,"Ap #168-3618 Eu, St.",04 73 88 29 12,Marvin Gillespie,Ireland,Connacht,Galway,"56.3672316928, -89.5632513024",52,Poland,10/21/1980
monacardenas@aol.ci,Ap #717-3640 Pede. Avenue,05 76 21 98 73,Mona Cardenas,Poland,Kujawsko-pomorskie,Bydgoszcz,"-77.8936563712, -125.649627648",95,Turkey,01/31/1979
zenashaffer2419@aol.org,425-9058 Dui. Rd.,06 58 89 20 46,Zena Shaffer,Belgium,Luxemburg,Habergy,"-72.370179584, -149.907023872",90,Sweden,03/19/1967
marciakirk9179@hotmail.ca,744-8779 Tristique St.,02 70 87 36 48,Marcia Kirk,Indonesia,Riau,Pekanbaru,"-21.121592832, 130.00541184",29,New Zealand,12/05/1979
hermioneanthony6216@outlook.couk,203-2706 Urna. Street,01 17 55 70 12,Hermione Anthony,Belgium,Brussels Hoofdstedelijk Gewest,Vorst,"-38.6185321472, 137.781019648",17,Ireland,01/21/1978
wyattbolton@google.net,640-667 Aptent Rd.,06 35 23 79 24,Wyatt Bolton,Pakistan,Balochistan,Khuzdar,"74.2234236928, -176.1782580224",83,South Korea,06/15/1953
rahimkirk@protonmail.sn,367-4389 Enim. Road,06 88 40 60 34,Rahim Kirk,Belgium,Vlaams-Brabant,Heikruis,"-15.9230623744, 155.9321960448",49,Austria,08/03/1977
quintessawolf@outlook.sn,"Ap #671-6738 Sed, Rd.",02 62 78 26 15,Quintessa Wolf,Chile,Los Lagos,Cochamó,"-9.9375228928, -2.810984448",79,Brazil,03/26/1969
zephblackburn6850@google.ca,287-6102 Tellus. Ave,06 88 23 28 77,Zeph Blackburn,Canada,Saskatchewan,Estevan,"-36.1592188928, -104.1996991488",41,Peru,01/11/1986
veronicaperkins544@outlook.ci,Ap #533-1458 Nibh Street,07 73 78 84 15,Veronica Perkins,Sweden,Stockholms län,Tumba,"-7.1390308352, -34.6970491904",40,Nigeria,05/07/1966
evangelineherring@aol.ci,Ap #573-8824 Magna Street,04 27 76 33 80,Evangeline Herring,New Zealand,South Island,Gore,"-31.7966383104, 147.2349871104",41,Nigeria,07/03/1959
lucianclements@hotmail.gh,Ap #607-1856 In Rd.,02 46 81 04 45,Lucian Clements,Sweden,Stockholms län,Stockholm,"-77.9703855104, 7.7417772032",77,Russian Federation,03/27/1955
signehubbard@yahoo.gh,Ap #319-8964 Sed Ave,05 16 11 77 93,Signe Hubbard,Brazil,Pará,Marabá,"-0.6231754752, 90.7148077056",79,China,08/19/1980
hayeswilliams@google.org,"P.O. Box 863, 6646 Id Rd.",05 80 45 76 13,Hayes Williams,Italy,Sardegna,Piscinas,"-80.7152502784, -177.4992027648",69,Poland,05/26/1976
wynterortiz@google.gh,194-6398 Phasellus Street,06 75 57 30 74,Wynter Ortiz,Chile,Valparaíso,Algarrobo,"-16.8418180096, -121.1827075072",31,Norway,08/11/1981
olivervincent@protonmail.org,Ap #701-6676 Nam Road,06 65 09 32 87,Oliver Vincent,Vietnam,Lạng Sơn,Lạng Sơn,"78.451988992, 116.2268577792",47,Turkey,01/16/1961
chelseamolina1973@google.couk,2977 Vitae Av.,03 85 21 91 37,Chelsea Molina,Nigeria,Sokoto,Sokoto,"-8.4826617856, -156.8011797504",101,Norway,05/27/1969
abbotmcdaniel4529@icloud.sn,"1468 A, Av.",07 10 65 57 55,Abbot Mcdaniel,Pakistan,Punjab,Sargodha,"-16.56493568, -134.110950912",88,Spain,08/04/1998
jacquelinebell@protonmail.edu,620-782 Blandit. Rd.,04 24 02 81 98,Jacqueline Bell,Sweden,Dalarnas län,Falun,"17.8425869312, -169.357863936",87,China,01/08/1986
travispierce@yahoo.edu,Ap #853-5001 Dictum Avenue,04 10 91 36 15,Travis Pierce,Philippines,Davao Region,Tagum,"-80.762288128, -126.6987483136",26,Turkey,10/03/1948
ethanstokes5416@yahoo.edu,782-1502 Netus Ave,06 17 85 37 97,Ethan Stokes,Ukraine,Kirovohrad oblast,Oleksandriia,"-65.8007660544, 39.4066546688",49,Australia,09/09/1959
callylittle@yahoo.net,Ap #176-274 Orci St.,07 74 31 95 80,Cally Little,Spain,Andalucía,Jerez de la Frontera,"-75.824790016, 119.9684013056",65,France,11/05/1966
johndaugherty954@google.ca,4809 Enim Ave,07 66 30 28 25,John Daugherty,Poland,Warmińsko-mazurskie,Ełk,"70.4778774528, 19.4702083072",51,Sweden,03/17/1981
quinrush9353@protonmail.ci,694-2899 Augue Avenue,05 11 50 31 26,Quin Rush,Turkey,Istanbul,Istanbul,"55.5689046016, 42.2215689216",78,Mexico,01/16/1962
